Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C4H12N1Ge1F3,3.163833,4.077769
C4H12N1Ge1Cl3,3.087048,3.359563
C4H12N1Ge1Br3,2.978804,3.340588
C4H12N1Ge1I3,2.375148,2.626847
C4H12N1Cd1F3,2.669192,2.42481
C4H12N1Cd1Cl3,2.980958,3.05577
C4H12N1Cd1Br3,2.878703,3.075334
C4H12N1Cd1I3,2.592671,3.167662
C4H12N1Sn1F3,2.535809,2.498343
C4H12N1Sn1Cl3,2.847158,3.270997
C4H12N1Sn1Br3,2.651501,2.98192
C4H12N1Sn1I3,2.197069,2.571855
C4H12N1Pb1F3,2.983482,2.57712
C4H12N1Pb1Cl3,2.99197,3.152232
C4H12N1Pb1Br3,2.862426,2.949441
C4H12N1Pb1I3,2.359038,2.689299
C4H12N1Bi1F3,2.878517,2.380341
C4H12N1Bi1Cl3,3.069155,3.065894
C4H12N1Bi1Br3,2.952486,2.877821
C4H12N1Bi1I3,2.295376,2.386061
C4H12N1Ge1F3,3.163833,4.077769
C4H12N1Ge1Cl3,3.087048,3.359563
C4H12N1Ge1Br3,2.978804,3.340588
C4H12N1Ge1I3,2.375148,2.626847
C4H12N1Cd1F3,2.669192,2.42481
C4H12N1Cd1Cl3,2.980958,3.05577
C4H12N1Cd1Br3,2.878703,3.075334
C4H12N1Cd1I3,2.592671,3.167662
C4H12N1Sn1F3,2.535809,2.498343
C4H12N1Sn1Cl3,2.847158,3.270997
C4H12N1Sn1Br3,2.651501,2.98192
C4H12N1Sn1I3,2.197069,2.571855
C4H12N1Pb1F3,2.983482,2.57712
C4H12N1Pb1Cl3,2.99197,3.152232
C4H12N1Pb1Br3,2.862426,2.949441
C4H12N1Pb1I3,2.359038,2.689299
C4H12N1Bi1F3,2.878517,2.380341
C4H12N1Bi1Cl3,3.069155,3.065894
C4H12N1Bi1Br3,2.952486,2.877821
C4H12N1Bi1I3,2.295376,2.386061
C4H12N1Ge1F3,3.163833,4.077769
C4H12N1Ge1Cl3,3.087048,3.359563
C4H12N1Ge1Br3,2.978804,3.340588
C4H12N1Ge1I3,2.375148,2.626847
C4H12N1Cd1F3,2.669192,2.42481
C4H12N1Cd1Cl3,2.980958,3.05577
C4H12N1Cd1Br3,2.878703,3.075334
C4H12N1Cd1I3,2.592671,3.167662
C4H12N1Sn1F3,2.535809,2.498343
C4H12N1Sn1Cl3,2.847158,3.270997
C4H12N1Sn1Br3,2.651501,2.98192
C4H12N1Sn1I3,2.197069,2.571855
C4H12N1Pb1F3,2.983482,2.57712
C4H12N1Pb1Cl3,2.99197,3.152232
C4H12N1Pb1Br3,2.862426,2.949441
C4H12N1Pb1I3,2.359038,2.689299
C4H12N1Bi1F3,2.878517,2.380341
C4H12N1Bi1Cl3,3.069155,3.065894
C4H12N1Bi1Br3,2.952486,2.877821
C4H12N1Bi1I3,2.295376,2.386061
C4H12N1Ge1F3,3.163833,4.077769
C4H12N1Ge1Cl3,3.087048,3.359563
C4H12N1Ge1Br3,2.978804,3.340588
C4H12N1Ge1I3,2.375148,2.626847
C4H12N1Cd1F3,2.669192,2.42481
C4H12N1Cd1Cl3,2.980958,3.05577
C4H12N1Cd1Br3,2.878703,3.075334
C4H12N1Cd1I3,2.592671,3.167662
C4H12N1Sn1F3,2.535809,2.498343
C4H12N1Sn1Cl3,2.847158,3.270997
C4H12N1Sn1Br3,2.651501,2.98192
C4H12N1Sn1I3,2.197069,2.571855
C4H12N1Pb1F3,2.983482,2.57712
C4H12N1Pb1Cl3,2.99197,3.152232
C4H12N1Pb1Br3,2.862426,2.949441
C4H12N1Pb1I3,2.359038,2.689299
C4H12N1Bi1F3,2.878517,2.380341
C4H12N1Bi1Cl3,3.069155,3.065894
C4H12N1Bi1Br3,2.952486,2.877821
C4H12N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
C3H10N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
C3H10N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
C3H10N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
C3H10N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
C3H10N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
C3H10N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
C3H10N1Bi1I3,2.295376,2.386061
C3H10N1Ge1F3,3.160939,4.031072
C3H10N1Ge1Cl3,3.085113,3.24677
C3H10N1Ge1Br3,2.987957,3.341352
C3H10N1Ge1I3,2.375148,2.661688
C3H10N1Cd1F3,2.673192,2.42481
C3H10N1Cd1Cl3,2.978558,3.05577
C3H10N1Cd1Br3,2.870378,3.074519
C3H10N1Cd1I3,2.612471,3.167169
C3H10N1Sn1F3,2.541309,2.485168
C3H10N1Sn1Cl3,2.848558,3.258041
C3H10N1Sn1Br3,2.646047,2.98192
C3H10N1Sn1I3,2.197725,2.59878
C3H10N1Pb1F3,2.987732,2.590064
C3H10N1Pb1Cl3,2.989127,3.163879
C3H10N1Pb1Br3,2.859192,2.93302
C3H10N1Pb1I3,2.359038,2.683503
C3H10N1Bi1F3,2.862347,2.380341
C3H10N1Bi1Cl3,3.069155,3.060372
C3H10N1Bi1Br3,2.947286,2.877821
