Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C11H72N5Pb4Br13,2.933073,3.4031
C11H72N5Pb4I13,2.274552,2.586061
C11H72N5Bi4F13,2.843614,2.218468
C11H72N5Bi4Cl13,3.021451,3.024284
C11H72N5Bi4Br13,2.992998,2.916611
C11H72N5Bi4I13,2.245922,2.36821
C11H55N5Ge4F13,3.051118,3.289406
C11H55N5Ge4Cl13,3.160768,3.441088
C11H55N5Ge4Br13,3.002032,3.360418
C11H55N5Ge4I13,2.363643,2.65799
C11H55N5Cd4F13,2.643205,2.500036
C11H55N5Cd4Cl13,2.997408,3.495105
C11H55N5Cd4Br13,2.900321,3.183708
C11H55N5Cd4I13,2.57178,2.777574
C11H55N5Sn4F13,2.481674,2.415947
C11H55N5Sn4Cl13,2.880453,3.370246
C11H55N5Sn4Br13,2.659821,3.097021
C11H55N5Sn4I13,2.171601,2.606626
C11H55N5Pb4F13,2.982948,2.482056
C11H55N5Pb4Cl13,2.998218,3.396146
C11H55N5Pb4Br13,2.870784,3.087322
C11H55N5Pb4I13,2.293721,2.733421
C11H55N5Bi4F13,2.871552,2.296603
C11H55N5Bi4Cl13,3.049051,3.021454
C11H55N5Bi4Br13,2.928543,2.792151
C11H55N5Bi4I13,2.2938,2.380804
C12H84N6Ge5F16,3.042468,3.245533
C12H84N6Ge5Cl16,3.156568,3.409329
C12H84N6Ge5Br16,3.048112,3.502026
C12H84N6Ge5I16,2.295104,2.611325
C12H84N6Cd5F16,2.580224,2.388021
C12H84N6Cd5Cl16,3.00778,3.441114
C12H84N6Cd5Br16,2.917287,3.576135
C12H84N6Cd5I16,2.573782,2.656842
C12H84N6Sn5F16,2.496262,2.305895
C12H84N6Sn5Cl16,2.892053,3.335189
C12H84N6Sn5Br16,2.746788,3.492303
C12H84N6Sn5I16,2.155385,2.644383
C12H84N6Pb5F16,2.971398,2.29653
C12H84N6Pb5Cl16,2.987676,3.340914
C12H84N6Pb5Br16,2.956295,3.444937
C12H84N6Pb5I16,2.266202,2.604226
C12H84N6Bi5F16,2.861304,2.218468
C12H84N6Bi5Cl16,3.035123,3.170594
C12H84N6Bi5Br16,2.980787,2.916988
C12H84N6Bi5I16,2.279872,2.428162
C12H48N6Ge5F16,3.062693,3.314903
C12H48N6Ge5Cl16,3.151595,3.449433
C12H48N6Ge5Br16,2.979623,3.393808
C12H48N6Ge5I16,2.330017,2.936976
C12H48N6Cd5F16,2.648506,2.401637
C12H48N6Cd5Cl16,2.992148,3.491221
C12H48N6Cd5Br16,2.865928,3.203554
C12H48N6Cd5I16,2.606394,3.229228
C12H48N6Sn5F16,2.498824,2.372755
C12H48N6Sn5Cl16,2.870086,3.428282
C12H48N6Sn5Br16,2.654652,3.169076
C12H48N6Sn5I16,2.175754,2.968012
C12H48N6Pb5F16,3.047985,2.413625
C12H48N6Pb5Cl16,2.947682,3.633566
C12H48N6Pb5Br16,2.834328,3.122515
C12H48N6Pb5I16,2.279771,3.177184
C12H48N6Bi5F16,2.875152,2.293173
C12H48N6Bi5Cl16,3.062728,3.199676
C12H48N6Bi5Br16,2.920049,2.901062
C12H48N6Bi5I16,2.276733,2.382416
C10H20N4Ge3F10,2.951455,3.282081
C10H20N4Ge3Cl10,3.041966,3.074922
C10H20N4Ge3Br10,2.965814,3.283152
C10H20N4Ge3I10,2.381176,2.889053
C10H20N4Cd3F10,2.654803,2.449225
C10H20N4Cd3Cl10,2.91373,3.028904
C10H20N4Cd3Br10,2.828245,2.984419
C10H20N4Cd3I10,2.586899,3.257715
C10H20N4Sn3F10,2.433871,2.385482
C10H20N4Sn3Cl10,2.778624,2.960222
C10H20N4Sn3Br10,2.646147,3.088505
C10H20N4Sn3I10,2.199512,2.79525
C10H20N4Pb3F10,2.956567,2.513342
C10H20N4Pb3Cl10,2.912908,2.859284
C10H20N4Pb3Br10,2.863592,2.993852
C10H20N4Pb3I10,2.3337,3.122759
C10H20N4Bi3F10,2.833376,2.263211
C10H20N4Bi3Cl10,3.05202,3.080293
C10H20N4Bi3Br10,2.896811,2.815705
C10H20N4Bi3I10,2.289404,2.389341
C8H32N4Ge3F10,3.00049,3.229697
C8H32N4Ge3Cl10,3.128359,3.359191
C8H32N4Ge3Br10,3.01231,3.364324
C8H32N4Ge3I10,2.387103,2.637239
C8H32N4Cd3F10,2.655556,2.418841
C8H32N4Cd3Cl10,2.993783,3.507101
C8H32N4Cd3Br10,2.914753,3.159399
C8H32N4Cd3I10,2.63433,3.303126
C8H32N4Sn3F10,2.505619,2.364155
C8H32N4Sn3Cl10,2.87734,3.42121
C8H32N4Sn3Br10,2.693852,3.096772
C8H32N4Sn3I10,2.201235,2.607701
C8H32N4Pb3F10,3.048002,2.452891
C8H32N4Pb3Cl10,2.972119,3.517783
C8H32N4Pb3Br10,2.853261,3.079913
C8H32N4Pb3I10,2.3266,2.930904
C8H32N4Bi3F10,2.889414,2.286843
C8H32N4Bi3Cl10,3.058502,3.099029
C8H32N4Bi3Br10,2.906427,2.807293
C8H32N4Bi3I10,2.297101,2.370098
C8H32N4Ge3F10,3.00049,3.229697
C8H32N4Ge3Cl10,3.128359,3.359191
C8H32N4Ge3Br10,3.01231,3.364324
C8H32N4Ge3I10,2.387103,2.637239
C8H32N4Cd3F10,2.655556,2.418841
C8H32N4Cd3Cl10,2.993783,3.507101
C8H32N4Cd3Br10,2.914753,3.159399
C8H32N4Cd3I10,2.63433,3.303126
C8H32N4Sn3F10,2.505619,2.364155
C8H32N4Sn3Cl10,2.87734,3.42121
C8H32N4Sn3Br10,2.693852,3.096772
C8H32N4Sn3I10,2.201235,2.607701
C8H32N4Pb3F10,3.048002,2.452891
C8H32N4Pb3Cl10,2.972119,3.517783
C8H32N4Pb3Br10,2.853261,3.079913
C8H32N4Pb3I10,2.3266,2.930904
C8H32N4Bi3F10,2.889414,2.286843
C8H32N4Bi3Cl10,3.058502,3.099029
C8H32N4Bi3Br10,2.906427,2.807293
C8H32N4Bi3I10,2.297101,2.370098
C8H24N2Ge1F4,3.082608,3.226622
C8H24N2Ge1Cl4,3.12422,3.330608
C8H24N2Ge1Br4,2.982941,3.168287
C8H24N2Ge1I4,2.355124,2.587531
C8H24N2Cd1F4,2.646572,2.337357
C8H24N2Cd1Cl4,2.980542,3.392151
C8H24N2Cd1Br4,2.839932,3.053422
C8H24N2Cd1I4,2.645417,2.837487
C8H24N2Sn1F4,2.482887,2.347386
C8H24N2Sn1Cl4,2.8702,3.238756
C8H24N2Sn1Br4,2.658732,2.970633
C8H24N2Sn1I4,2.213016,2.632631
C8H24N2Pb1F4,2.914741,2.485402
C8H24N2Pb1Cl4,3.022525,3.128772
C8H24N2Pb1Br4,2.879363,2.875264
C8H24N2Pb1I4,2.343915,2.671594
C8H24N2Bi1F4,2.863314,2.230898
C8H24N2Bi1Cl4,3.054397,3.071667
C8H24N2Bi1Br4,2.943538,2.907555
C8H24N2Bi1I4,2.295176,2.419868
C8H24N2Ge1F4,3.082608,3.226622
C8H24N2Ge1Cl4,3.12422,3.330608
C8H24N2Ge1Br4,2.982941,3.168287
C8H24N2Ge1I4,2.355124,2.587531
C8H24N2Cd1F4,2.646572,2.337357
C8H24N2Cd1Cl4,2.980542,3.392151
C8H24N2Cd1Br4,2.839932,3.053422
C8H24N2Cd1I4,2.645417,2.837487
C8H24N2Sn1F4,2.482887,2.347386
C8H24N2Sn1Cl4,2.8702,3.238756
C8H24N2Sn1Br4,2.658732,2.970633
C8H24N2Sn1I4,2.213016,2.632631
C8H24N2Pb1F4,2.914741,2.485402
C8H24N2Pb1Cl4,3.022525,3.128772
C8H24N2Pb1Br4,2.879363,2.875264
C8H24N2Pb1I4,2.343915,2.671594
