Chemical Formula,Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C14H14N4Bi1F4,2.76004,2.268511
C14H14N4Bi1Cl4,3.010051,3.124413
C14H14N4Bi1Br4,2.916509,2.684268
C14H14N4Bi1I4,2.302365,2.383426
C7H7N2Ge1F3,3.114567,4.000962
C7H7N2Ge1Cl3,3.035883,3.080433
C7H7N2Ge1Br3,2.974235,3.293804
C7H7N2Ge1I3,2.402873,2.536217
C7H7N2Cd1F3,2.666476,2.265196
C7H7N2Cd1Cl3,2.892337,2.895248
C7H7N2Cd1Br3,2.826361,3.028382
C7H7N2Cd1I3,2.638911,3.493626
C7H7N2Sn1F3,2.484832,2.358937
C7H7N2Sn1Cl3,2.792255,2.950536
C7H7N2Sn1Br3,2.637603,3.144876
C7H7N2Sn1I3,2.205417,2.568159
C7H7N2Pb1F3,2.924242,2.494092
C7H7N2Pb1Cl3,2.983823,2.912485
C7H7N2Pb1Br3,2.881163,3.065502
C7H7N2Pb1I3,2.364336,2.691523
C7H7N2Bi1F3,2.818026,2.138789
C7H7N2Bi1Cl3,3.041442,3.082772
C7H7N2Bi1Br3,2.919902,2.699236
C7H7N2Bi1I3,2.299483,2.330232
C14H14N4Ge1F4,2.948643,3.252816
C14H14N4Ge1Cl4,3.009285,3.381892
C14H14N4Ge1Br4,2.962806,3.23347
C14H14N4Ge1I4,2.384987,3.015343
C14H14N4Cd1F4,2.611545,2.464924
C14H14N4Cd1Cl4,2.920062,3.285501
C14H14N4Cd1Br4,2.827254,3.037192
C14H14N4Cd1I4,2.585657,3.184154
C14H14N4Sn1F4,2.406431,2.392697
C14H14N4Sn1Cl4,2.770621,3.316222
C14H14N4Sn1Br4,2.630018,3.048325
C14H14N4Sn1I4,2.192102,3.00196
C14H14N4Pb1F4,2.945707,2.509926
C14H14N4Pb1Cl4,2.95638,3.235949
C14H14N4Pb1Br4,2.85872,2.924234
C14H14N4Pb1I4,2.320311,3.019303
C14H14N4Bi1F4,2.76004,2.268511
C14H14N4Bi1Cl4,3.010051,3.124413
C14H14N4Bi1Br4,2.916509,2.684268
C14H14N4Bi1I4,2.302365,2.383426
C24H28N2O2Ge1F4,2.983289,3.291834
C24H28N2O2Ge1Cl4,3.081719,3.471055
C24H28N2O2Ge1Br4,2.990395,3.248513
C24H28N2O2Ge1I4,2.369537,2.43702
C24H28N2O2Cd1F4,2.653183,2.246762
C24H28N2O2Cd1Cl4,3.036668,3.376852
C24H28N2O2Cd1Br4,2.929746,3.037563
C24H28N2O2Cd1I4,2.551481,3.08139
C24H28N2O2Sn1F4,2.403812,2.363527
C24H28N2O2Sn1Cl4,2.874428,3.355843
C24H28N2O2Sn1Br4,2.691067,3.072327
C24H28N2O2Sn1I4,2.141348,2.593902
C24H28N2O2Pb1F4,2.902108,2.560539
C24H28N2O2Pb1Cl4,3.03121,3.156631
C24H28N2O2Pb1Br4,2.890493,2.908835
C24H28N2O2Pb1I4,2.3424,2.562549
C24H28N2O2Bi1F4,2.777257,2.18522
C24H28N2O2Bi1Cl4,3.011122,3.095639
C24H28N2O2Bi1Br4,2.931257,2.740624
C24H28N2O2Bi1I4,2.326757,2.469997
C26H32N2O2Ge1F4,3.138593,4.193307
C26H32N2O2Ge1Cl4,3.130728,3.485655
C26H32N2O2Ge1Br4,3.02443,3.27298
C26H32N2O2Ge1I4,2.408869,2.583725
C26H32N2O2Cd1F4,2.738237,2.319779
C26H32N2O2Cd1Cl4,3.021305,3.342986
C26H32N2O2Cd1Br4,2.91841,3.004923
C26H32N2O2Cd1I4,2.536852,3.19563
C26H32N2O2Sn1F4,2.521092,2.414285
C26H32N2O2Sn1Cl4,2.930915,3.375014
C26H32N2O2Sn1Br4,2.685442,3.005339
C26H32N2O2Sn1I4,2.181249,2.745646
C26H32N2O2Pb1F4,2.963246,2.620558
C26H32N2O2Pb1Cl4,3.079316,3.411211
C26H32N2O2Pb1Br4,2.927889,2.968092
C26H32N2O2Pb1I4,2.362907,2.69141
C26H32N2O2Bi1F4,2.816427,2.311972
C26H32N2O2Bi1Cl4,3.040942,3.104603
C26H32N2O2Bi1Br4,2.924081,2.714206
C26H32N2O2Bi1I4,2.298419,2.24669
C57H82N6O6Ge2F8,2.97416,3.248686
C57H82N6O6Ge2Cl8,3.11749,3.619931
C57H82N6O6Ge2Br8,3.00508,3.325964
C57H82N6O6Ge2I8,2.342641,2.92579
C57H82N6O6Cd2F8,2.633517,2.263412
C57H82N6O6Cd2Cl8,3.057112,3.554285
C57H82N6O6Cd2Br8,2.938294,3.094489
C57H82N6O6Cd2I8,2.561292,3.212914
C57H82N6O6Sn2F8,2.442258,2.273919
C57H82N6O6Sn2Cl8,2.929355,3.536735
C57H82N6O6Sn2Br8,2.665595,3.027127
C57H82N6O6Sn2I8,2.131773,2.722203
C57H82N6O6Pb2F8,2.934918,2.464285
C57H82N6O6Pb2Cl8,3.055044,3.35464
C57H82N6O6Pb2Br8,2.916849,2.946772
C57H82N6O6Pb2I8,2.341653,2.938398
C57H82N6O6Bi2F8,2.77829,2.19626
C57H82N6O6Bi2Cl8,3.030828,3.089643
C57H82N6O6Bi2Br8,2.940999,2.62115
C57H82N6O6Bi2I8,2.288424,2.418563
C36H32N2O2Ge1F4,3.017943,3.332707
C36H32N2O2Ge1Cl4,3.018921,3.46216
C36H32N2O2Ge1Br4,2.975209,3.268222
C36H32N2O2Ge1I4,2.346184,2.374998
C36H32N2O2Cd1F4,2.627445,2.097982
C36H32N2O2Cd1Cl4,3.009152,3.382015
C36H32N2O2Cd1Br4,2.919944,3.05777
C36H32N2O2Cd1I4,2.522248,2.731742
C36H32N2O2Sn1F4,2.426072,2.263402
C36H32N2O2Sn1Cl4,2.85139,3.353698
C36H32N2O2Sn1Br4,2.666139,3.042368
C36H32N2O2Sn1I4,2.133283,2.660144
C36H32N2O2Pb1F4,2.870987,2.460728
C36H32N2O2Pb1Cl4,3.004152,3.17507
C36H32N2O2Pb1Br4,2.900596,2.99934
C36H32N2O2Pb1I4,2.3253,2.597593
C36H32N2O2Bi1F4,2.750801,2.291164
C36H32N2O2Bi1Cl4,2.989059,3.083652
C36H32N2O2Bi1Br4,2.956478,2.76614
C36H32N2O2Bi1I4,2.317851,2.471472
C38H36N2O2Ge1F4,3.090178,3.324411
C38H36N2O2Ge1Cl4,3.070864,3.458533
C38H36N2O2Ge1Br4,2.990306,3.299233
C38H36N2O2Ge1I4,2.356259,2.494115
C38H36N2O2Cd1F4,2.633021,2.260065
C38H36N2O2Cd1Cl4,3.012602,3.354889
C38H36N2O2Cd1Br4,2.919944,3.04715
C38H36N2O2Cd1I4,2.518948,2.733043
C38H36N2O2Sn1F4,2.436746,2.270253
C38H36N2O2Sn1Cl4,2.858532,3.397584
C38H36N2O2Sn1Br4,2.671833,3.076769
C38H36N2O2Sn1I4,2.149483,2.57655
C38H36N2O2Pb1F4,2.849326,2.563687
C38H36N2O2Pb1Cl4,3.019179,3.231329
C38H36N2O2Pb1Br4,2.900505,3.021063
C38H36N2O2Pb1I4,2.344375,2.601125
C38H36N2O2Bi1F4,2.778079,2.203814
C38H36N2O2Bi1Cl4,3.016058,3.022049
C38H36N2O2Bi1Br4,2.920805,2.715268
C38H36N2O2Bi1I4,2.295815,2.458233
C40H40N2O2Ge1F6,3.006593,3.329863
C40H40N2O2Ge1Cl6,3.051521,3.474298
C40H40N2O2Ge1Br6,2.985695,3.260945
C40H40N2O2Ge1I6,2.361649,2.454469
C40H40N2O2Cd1F6,2.639095,2.285285
C40H40N2O2Cd1Cl6,3.014552,3.371139
C40H40N2O2Cd1Br6,2.925544,3.053423
C40H40N2O2Cd1I6,2.546798,2.783538
C40H40N2O2Sn1F6,2.404104,2.335998
C40H40N2O2Sn1Cl6,2.84969,3.349107
C40H40N2O2Sn1Br6,2.694675,3.155035
C40H40N2O2Sn1I6,2.147333,2.594937
C40H40N2O2Pb1F6,2.841626,2.535255
C40H40N2O2Pb1Cl6,3.019762,3.195986
C40H40N2O2Pb1Br6,2.912543,3.071651
C40H40N2O2Pb1I6,2.3323,2.541485
C40H40N2O2Bi1F6,2.769379,2.19688
C40H40N2O2Bi1Cl6,3.020266,3.053945
C40H40N2O2Bi1Br6,2.925339,2.768491
C40H40N2O2Bi1I6,2.303507,2.49199
C44H36N2O2Ge1F4,3.129281,4.224294
C44H36N2O2Ge1Cl4,3.077287,3.557565
C44H36N2O2Ge1Br4,2.988325,3.375104
C44H36N2O2Ge1I4,2.37739,2.615703
C44H36N2O2Cd1F4,2.688873,2.309821
C44H36N2O2Cd1Cl4,3.021946,3.350739
C44H36N2O2Cd1Br4,2.912994,3.10236
C44H36N2O2Cd1I4,2.552281,2.799271
C44H36N2O2Sn1F4,2.453817,2.359933
C44H36N2O2Sn1Cl4,2.885575,3.403296
C44H36N2O2Sn1Br4,2.698098,3.08236
C44H36N2O2Sn1I4,2.172811,2.761889
C44H36N2O2Pb1F4,2.87232,2.690293
C44H36N2O2Pb1Cl4,3.029971,3.242462
C44H36N2O2Pb1Br4,2.931215,3.036806
C44H36N2O2Pb1I4,2.361328,2.662017
C44H36N2O2Bi1F4,2.768553,2.306931
C44H36N2O2Bi1Cl4,3.011013,3.05887
C44H36N2O2Bi1Br4,2.915975,2.610085
C44H36N2O2Bi1I4,2.287784,2.210526
C14H14N2S6Ge1F4,3.157125,4.607524
C14H14N2S6Ge1Cl4,3.198653,3.505117
C14H14N2S6Ge1Br4,2.999026,3.347241
C14H14N2S6Ge1I4,2.392195,3.311199
C14H14N2S6Cd1F4,2.713649,2.234234
C14H14N2S6Cd1Cl4,3.095444,3.2508
C14H14N2S6Cd1Br4,2.919965,3.202645
C14H14N2S6Cd1I4,2.707674,3.42636
C14H14N2S6Sn1F4,2.563477,2.469285
C14H14N2S6Sn1Cl4,2.898667,3.506423
C14H14N2S6Sn1Br4,2.713106,3.149475
C14H14N2S6Sn1I4,2.222175,3.247433
C14H14N2S6Pb1F4,3.043699,2.547456
C14H14N2S6Pb1Cl4,3.048183,3.241829
C14H14N2S6Pb1Br4,2.895689,2.983786
C14H14N2S6Pb1I4,2.388699,3.350934
C14H14N2S6Bi1F4,2.880864,2.331721
C14H14N2S6Bi1Cl4,3.041045,3.087481
C14H14N2S6Bi1Br4,2.944436,2.823736
C14H14N2S6Bi1I4,2.281633,2.38781
C40H48N4S12Ge3F10,3.073154,3.271499
C40H48N4S12Ge3Cl10,3.184551,3.122547
C40H48N4S12Ge3Br10,3.136714,3.251703
C40H48N4S12Ge3I10,2.45409,3.195723
C40H48N4S12Cd3F10,2.684276,2.358621
C40H48N4S12Cd3Cl10,3.061489,3.151507
C40H48N4S12Cd3Br10,2.989421,3.080421
C40H48N4S12Cd3I10,2.668444,3.230883
C40H48N4S12Sn3F10,2.531508,2.274895
C40H48N4S12Sn3Cl10,2.941079,3.079692
C40H48N4S12Sn3Br10,2.806187,3.033353
C40H48N4S12Sn3I10,2.232957,3.009775
C40H48N4S12Pb3F10,3.076792,2.406919
C40H48N4S12Pb3Cl10,3.065782,2.923091
C40H48N4S12Pb3Br10,3.058667,2.974908
C40H48N4S12Pb3I10,2.393806,3.100572
C40H48N4S12Bi3F10,2.948782,2.394916
C40H48N4S12Bi3Cl10,2.946947,3.093429
C40H48N4S12Bi3Br10,2.869154,2.729382
C40H48N4S12Bi3I10,2.312858,2.830628
C30H36N3S9Ge2F9,3.075554,3.2696
C30H36N3S9Ge2Cl9,3.180201,3.129343
C30H36N3S9Ge2Br9,3.130914,3.235868
C30H36N3S9Ge2I9,2.442758,3.106562
C30H36N3S9Cd2F9,2.679926,2.359045
C30H36N3S9Cd2Cl9,3.046774,3.169288
C30H36N3S9Cd2Br9,3.002151,3.087801
C30H36N3S9Cd2I9,2.680069,3.282618
C30H36N3S9Sn2F9,2.522599,2.277653
C30H36N3S9Sn2Cl9,2.928879,3.086612
C30H36N3S9Sn2Br9,2.796686,3.001591
C30H36N3S9Sn2I9,2.229102,3.00302
C30H36N3S9Pb2F9,3.079242,2.409677
C30H36N3S9Pb2Cl9,3.047438,2.861306
C30H36N3S9Pb2Br9,3.044017,3.008804
C30H36N3S9Pb2I9,2.403275,3.136002
C30H36N3S9Bi2F9,2.94337,2.392929
C30H36N3S9Bi2Cl9,2.965666,3.14341
C30H36N3S9Bi2Br9,2.870386,2.843199
C30H36N3S9Bi2I9,2.332101,2.948674
C14H18N2Ge1F6,2.97948,3.296731
C14H18N2Ge1Cl6,3.037548,3.276775
C14H18N2Ge1Br6,2.953997,3.197837
C14H18N2Ge1I6,2.371142,2.536023
C14H18N2Cd1F6,2.637474,2.392385
C14H18N2Cd1Cl6,2.90862,2.903596
C14H18N2Cd1Br6,2.82537,2.936378
C14H18N2Cd1I6,2.596069,2.738727
C14H18N2Sn1F6,2.394975,2.419431
C14H18N2Sn1Cl6,2.853872,3.197649
C14H18N2Sn1Br6,2.665571,3.040401
C14H18N2Sn1I6,2.171423,2.538616
C14H18N2Pb1F6,2.867598,2.640908
C14H18N2Pb1Cl6,2.943188,3.109204
C14H18N2Pb1Br6,2.87789,2.889826
C14H18N2Pb1I6,2.34535,2.549865
C14H18N2Bi1F6,2.810365,2.204221
C14H18N2Bi1Cl6,3.034187,3.062874
C14H18N2Bi1Br6,2.899392,2.599488
C14H18N2Bi1I6,2.327304,2.335622
C6H13N3Ge1F4,3.07261,3.202183
C6H13N3Ge1Cl4,3.054461,3.396621
C6H13N3Ge1Br4,2.969548,3.286612
C6H13N3Ge1I4,2.391712,2.923635
C6H13N3Cd1F4,2.653095,2.366355
C6H13N3Cd1Cl4,2.938314,3.193366
C6H13N3Cd1Br4,2.85874,3.057058
C6H13N3Cd1I4,2.627707,3.483181
C6H13N3Sn1F4,2.475679,2.40256
C6H13N3Sn1Cl4,2.8043,3.318971
C6H13N3Sn1Br4,2.655629,3.07157
C6H13N3Sn1I4,2.227871,2.913225
C6H13N3Pb1F4,2.970757,2.493985
C6H13N3Pb1Cl4,2.987123,3.195292
C6H13N3Pb1Br4,2.874184,2.976557
C6H13N3Pb1I4,2.365589,2.966851
C6H13N3Bi1F4,2.809676,2.202748
C6H13N3Bi1Cl4,3.042692,3.089106
C6H13N3Bi1Br4,2.935263,2.679458
C6H13N3Bi1I4,2.287735,2.314202
C14H10N4Ge1F8,2.980148,3.251498
C14H10N4Ge1Cl8,3.019808,3.021547
C14H10N4Ge1Br8,2.972914,3.282687
C14H10N4Ge1I8,2.377812,3.008878
C14H10N4Cd1F8,2.657712,2.439905
C14H10N4Cd1Cl8,2.896387,2.923897
C14H10N4Cd1Br8,2.822196,3.053007
C14H10N4Cd1I8,2.612107,3.209834
C14H10N4Sn1F8,2.405971,2.359113
C14H10N4Sn1Cl8,2.759388,2.97118
C14H10N4Sn1Br8,2.625019,3.088041
C14H10N4Sn1I8,2.208898,2.856945
C14H10N4Pb1F8,2.927242,2.576412
C14H10N4Pb1Cl8,2.942197,2.94381
C14H10N4Pb1Br8,2.873442,2.99547
C14H10N4Pb1I8,2.367657,3.013785
C14H10N4Bi1F8,2.780352,2.21411
C14H10N4Bi1Cl8,3.011851,3.126885
C14H10N4Bi1Br8,2.892428,2.733247
C14H10N4Bi1I8,2.318238,2.348884
C14H18N2Ge1F4,3.157843,4.052989
C14H18N2Ge1Cl4,3.082953,3.248306
C14H18N2Ge1Br4,2.973884,3.213342
C14H18N2Ge1I4,2.399753,2.580566
C14H18N2Cd1F4,2.683158,2.403636
C14H18N2Cd1Cl4,2.877973,2.996461
C14H18N2Cd1Br4,2.818356,3.029018
C14H18N2Cd1I4,2.592723,2.828918
C14H18N2Sn1F4,2.499316,2.420084
C14H18N2Sn1Cl4,2.879819,3.179034
C14H18N2Sn1Br4,2.646608,2.985733
C14H18N2Sn1I4,2.180455,2.524831
C14H18N2Pb1F4,2.963807,2.60221
C14H18N2Pb1Cl4,3.028135,3.116424
C14H18N2Pb1Br4,2.871299,2.920409
C14H18N2Pb1I4,2.380808,2.591183
C14H18N2Bi1F4,2.81264,2.273683
C14H18N2Bi1Cl4,3.051785,3.050221
C14H18N2Bi1Br4,2.93114,2.627961
C14H18N2Bi1I4,2.29239,2.296689
C3N3Ge1F3,2.943143,3.263084
C3N3Ge1Cl3,3.034835,3.308258
C3N3Ge1Br3,2.945007,3.1685
C3N3Ge1I3,2.370523,3.033199
C3N3Cd1F3,2.631209,2.379104
C3N3Cd1Cl3,2.927318,3.278866
C3N3Cd1Br3,2.81945,2.993034
C3N3Cd1I3,2.612507,3.239992
C3N3Sn1F3,2.399093,2.406216
C3N3Sn1Cl3,2.791607,3.25606
C3N3Sn1Br3,2.645918,3.037477
C3N3Sn1I3,2.196835,3.031582
C3N3Pb1F3,2.934451,2.57478
C3N3Pb1Cl3,2.965623,2.836626
C3N3Pb1Br3,2.850662,2.916647
C3N3Pb1I3,2.340078,3.044563
C3N3Bi1F3,2.805556,2.281058
C3N3Bi1Cl3,2.994928,3.130467
C3N3Bi1Br3,2.889039,2.648251
C3N3Bi1I3,2.306688,2.741361
C16H24N2Ge1F4,3.074216,3.290554
C16H24N2Ge1Cl4,3.072971,3.582278
C16H24N2Ge1Br4,2.97955,3.300343
C16H24N2Ge1I4,2.385932,2.591151
C16H24N2Cd1F4,2.615041,2.406645
C16H24N2Cd1Cl4,2.960418,3.252946
C16H24N2Cd1Br4,2.819076,2.906856
C16H24N2Cd1I4,2.587519,2.686362
C16H24N2Sn1F4,2.445317,2.412928
C16H24N2Sn1Cl4,2.874307,3.209651
C16H24N2Sn1Br4,2.663418,3.191438
C16H24N2Sn1I4,2.152343,2.593228
C16H24N2Pb1F4,2.877855,2.56546
C16H24N2Pb1Cl4,3.030764,3.082229
C16H24N2Pb1Br4,2.875177,2.987406
C16H24N2Pb1I4,2.335929,2.631373
C16H24N2Bi1F4,2.817315,2.176032
C16H24N2Bi1Cl4,3.041287,3.044179
C16H24N2Bi1Br4,2.930002,2.651215
C16H24N2Bi1I4,2.297654,2.235409
C1H6N3Ge1F3,3.106111,4.000248
C1H6N3Ge1Cl3,3.060304,3.387714
C1H6N3Ge1Br3,2.957548,3.311997
C1H6N3Ge1I3,2.383626,3.215002
C1H6N3Cd1F3,2.659752,2.328678
C1H6N3Cd1Cl3,2.975826,3.331649
C1H6N3Cd1Br3,2.861963,3.095742
C1H6N3Cd1I3,2.622318,3.485443
C1H6N3Sn1F3,2.490588,2.35799
C1H6N3Sn1Cl3,2.814271,3.338538
C1H6N3Sn1Br3,2.668629,3.118732
C1H6N3Sn1I3,2.247457,3.174772
C1H6N3Pb1F3,2.970607,2.5396
C1H6N3Pb1Cl3,2.988873,3.224443
C1H6N3Pb1Br3,2.861114,2.979054
C1H6N3Pb1I3,2.360425,3.230061
C1H6N3Bi1F3,2.814175,2.238211
C1H6N3Bi1Cl3,3.029359,3.107844
C1H6N3Bi1Br3,2.931208,2.710182
C1H6N3Bi1I3,2.284694,2.330703
C12H52N8Ge7F22,2.976801,3.183821
C12H52N8Ge7Cl22,3.092172,3.397439
C12H52N8Ge7Br22,3.003706,3.312965
C12H52N8Ge7I22,2.368053,2.907113
C12H52N8Cd7F22,2.657812,2.429828
C12H52N8Cd7Cl22,3.002518,3.555602
C12H52N8Cd7Br22,2.888778,3.173609
C12H52N8Cd7I22,2.634747,3.229991
C12H52N8Sn7F22,2.461305,2.366372
C12H52N8Sn7Cl22,2.870369,3.360368
C12H52N8Sn7Br22,2.697553,3.126959
C12H52N8Sn7I22,2.194999,2.892569
C12H52N8Pb7F22,3.018216,2.465897
C12H52N8Pb7Cl22,2.941608,3.390323
C12H52N8Pb7Br22,2.854578,3.117066
C12H52N8Pb7I22,2.31635,3.170476
C12H52N8Bi7F22,2.888075,2.247068
C12H52N8Bi7Cl22,3.059572,3.042297
C12H52N8Bi7Br22,2.911923,2.89681
C12H52N8Bi7I22,2.283704,2.341712
C13H96N7Ge6F19,3.042468,3.245533
C13H96N7Ge6Cl19,3.156118,3.404122
C13H96N7Ge6Br19,3.077606,3.502026
C13H96N7Ge6I19,2.265043,2.644701
C13H96N7Cd6F19,2.591874,2.383095
C13H96N7Cd6Cl19,3.00078,3.441114
C13H96N7Cd6Br19,2.920981,3.601087
C13H96N7Cd6I19,2.579618,2.698132
C13H96N7Sn6F19,2.50017,2.305895
C13H96N7Sn6Cl19,2.878353,3.335189
C13H96N7Sn6Br19,2.721688,3.48491
C13H96N7Sn6I19,2.155877,2.700222
C13H96N7Pb6F19,2.975898,2.291323
C13H96N7Pb6Cl19,2.978376,3.318031
C13H96N7Pb6Br19,2.938961,3.471743
C13H96N7Pb6I19,2.237396,2.638533
C13H96N7Bi6F19,2.860204,2.218468
C13H96N7Bi6Cl19,3.023173,3.184865
C13H96N7Bi6Br19,2.986487,2.906229
C13H96N7Bi6I19,2.286672,2.507447
C14H60N8Ge7F22,3.047018,3.269768
C14H60N8Ge7Cl22,3.157644,3.491274
C14H60N8Ge7Br22,2.958974,3.428811
C14H60N8Ge7I22,2.330367,3.293559
C14H60N8Cd7F22,2.647706,2.41896
C14H60N8Cd7Cl22,2.980281,3.521737
C14H60N8Cd7Br22,2.884628,3.184067
C14H60N8Cd7I22,2.584718,3.444991
C14H60N8Sn7F22,2.518497,2.396249
C14H60N8Sn7Cl22,2.855227,3.449741
C14H60N8Sn7Br22,2.646353,3.171212
C14H60N8Sn7I22,2.14946,3.353838
C14H60N8Pb7F22,3.048361,2.451069
C14H60N8Pb7Cl22,2.879372,3.656704
C14H60N8Pb7Br22,2.837728,3.182947
C14H60N8Pb7I22,2.256771,3.286237
C14H60N8Bi7F22,2.884303,2.291443
C14H60N8Bi7Cl22,3.05078,3.425813
C14H60N8Bi7Br22,2.909599,2.895044
C14H60N8Bi7I22,2.27812,2.500872
C32H41N3Ge1F8,3.031093,3.318717
C32H41N3Ge1Cl8,3.075917,3.291329
C32H41N3Ge1Br8,2.977704,3.288771
C32H41N3Ge1I8,2.391346,2.64119
C32H41N3Cd1F8,2.62573,2.402365
C32H41N3Cd1Cl8,2.96864,3.140707
C32H41N3Cd1Br8,2.846656,3.032818
C32H41N3Cd1I8,2.556482,2.687449
C32H41N3Sn1F8,2.41474,2.430936
C32H41N3Sn1Cl8,2.863092,3.231412
C32H41N3Sn1Br8,2.684138,3.207834
C32H41N3Sn1I8,2.18057,2.606718
C32H41N3Pb1F8,2.872868,2.532931
C32H41N3Pb1Cl8,3.011258,3.05016
C32H41N3Pb1Br8,2.878947,3.030115
C32H41N3Pb1I8,2.361143,2.632509
C32H41N3Bi1F8,2.821065,2.179452
C32H41N3Bi1Cl8,3.03783,3.038114
C32H41N3Bi1Br8,2.923815,2.643344
C32H41N3Bi1I8,2.301083,2.291161
C18H32N4Ge1F8,2.954993,3.19857
C18H32N4Ge1Cl8,3.054952,3.296185
C18H32N4Ge1Br8,2.991574,3.291025
C18H32N4Ge1I8,2.385899,2.524735
C18H32N4Cd1F8,2.614008,2.490038
C18H32N4Cd1Cl8,2.936496,3.401026
C18H32N4Cd1Br8,2.828023,3.139723
C18H32N4Cd1I8,2.578645,2.684647
C18H32N4Sn1F8,2.407903,2.375319
C18H32N4Sn1Cl8,2.826535,3.284959
C18H32N4Sn1Br8,2.640148,3.034966
C18H32N4Sn1I8,2.207406,2.529992
C18H32N4Pb1F8,2.885311,2.506271
C18H32N4Pb1Cl8,2.990032,3.159009
C18H32N4Pb1Br8,2.899668,2.985325
C18H32N4Pb1I8,2.35274,2.600685
C18H32N4Bi1F8,2.831003,2.266524
C18H32N4Bi1Cl8,3.03558,3.05607
C18H32N4Bi1Br8,2.916001,2.595568
C18H32N4Bi1I8,2.327879,2.338887
C20H22N6Ge2F9,2.947805,3.239043
C20H22N6Ge2Cl9,3.01279,3.358853
C20H22N6Ge2Br9,2.974975,3.234196
C20H22N6Ge2I9,2.378987,3.004928
C20H22N6Cd2F9,2.640814,2.443175
C20H22N6Cd2Cl9,2.929004,3.038969
C20H22N6Cd2Br9,2.837245,3.018853
C20H22N6Cd2I9,2.582007,3.285886
C20H22N6Sn2F9,2.418358,2.371432
C20H22N6Sn2Cl9,2.76632,3.303021
C20H22N6Sn2Br9,2.641045,3.084091
C20H22N6Sn2I9,2.196335,3.08535
C20H22N6Pb2F9,2.952751,2.486234
C20H22N6Pb2Cl9,2.956594,2.876059
C20H22N6Pb2Br9,2.844709,2.94538
C20H22N6Pb2I9,2.307378,3.039028
C20H22N6Bi2F9,2.78379,2.253819
C20H22N6Bi2Cl9,3.015551,3.121983
C20H22N6Bi2Br9,2.897756,2.657102
C20H22N6Bi2I9,2.309017,2.306116
C14H18N2Ge1F4,3.157843,4.052989
C14H18N2Ge1Cl4,3.082953,3.248306
C14H18N2Ge1Br4,2.973884,3.213342
C14H18N2Ge1I4,2.399753,2.580566
C14H18N2Cd1F4,2.683158,2.403636
C14H18N2Cd1Cl4,2.877973,2.996461
C14H18N2Cd1Br4,2.818356,3.029018
C14H18N2Cd1I4,2.592723,2.828918
C14H18N2Sn1F4,2.499316,2.420084
C14H18N2Sn1Cl4,2.879819,3.179034
C14H18N2Sn1Br4,2.646608,2.985733
C14H18N2Sn1I4,2.180455,2.524831
C14H18N2Pb1F4,2.963807,2.60221
C14H18N2Pb1Cl4,3.028135,3.116424
C14H18N2Pb1Br4,2.871299,2.920409
C14H18N2Pb1I4,2.380808,2.591183
C14H18N2Bi1F4,2.81264,2.273683
C14H18N2Bi1Cl4,3.051785,3.050221
C14H18N2Bi1Br4,2.93114,2.627961
C14H18N2Bi1I4,2.29239,2.296689
C14H18N2Ge1F4,3.157843,4.052989
C14H18N2Ge1Cl4,3.082953,3.248306
C14H18N2Ge1Br4,2.973884,3.213342
C14H18N2Ge1I4,2.399753,2.580566
C14H18N2Cd1F4,2.683158,2.403636
C14H18N2Cd1Cl4,2.877973,2.996461
C14H18N2Cd1Br4,2.818356,3.029018
C14H18N2Cd1I4,2.592723,2.828918
C14H18N2Sn1F4,2.499316,2.420084
C14H18N2Sn1Cl4,2.879819,3.179034
C14H18N2Sn1Br4,2.646608,2.985733
C14H18N2Sn1I4,2.180455,2.524831
C14H18N2Pb1F4,2.963807,2.60221
C14H18N2Pb1Cl4,3.028135,3.116424
C14H18N2Pb1Br4,2.871299,2.920409
C14H18N2Pb1I4,2.380808,2.591183
C14H18N2Bi1F4,2.81264,2.273683
C14H18N2Bi1Cl4,3.051785,3.050221
C14H18N2Bi1Br4,2.93114,2.627961
C14H18N2Bi1I4,2.29239,2.296689
C1H12N6Ge1F3,3.066169,3.999492
C1H12N6Ge1Cl3,3.062161,3.329942
C1H12N6Ge1Br3,2.916559,3.24168
C1H12N6Ge1I3,2.352426,3.181011
C1H12N6Cd1F3,2.603395,2.311179
C1H12N6Cd1Cl3,2.938709,3.126608
C1H12N6Cd1Br3,2.839051,2.999223
C1H12N6Cd1I3,2.613915,3.362667
C1H12N6Sn1F3,2.468124,2.436769
C1H12N6Sn1Cl3,2.821964,3.286324
C1H12N6Sn1Br3,2.66917,3.051612
C1H12N6Sn1I3,2.222873,3.130454
C1H12N6Pb1F3,2.927057,2.512537
C1H12N6Pb1Cl3,2.986456,3.215142
C1H12N6Pb1Br3,2.862191,2.955206
C1H12N6Pb1I3,2.316564,3.220913
C1H12N6Bi1F3,2.852239,2.188746
C1H12N6Bi1Cl3,3.017825,3.114816
C1H12N6Bi1Br3,2.912835,2.71679
C1H12N6Bi1I3,2.282314,2.293525
C3H18N9Ge1F5,2.948113,3.265022
C3H18N9Ge1Cl5,3.053461,3.336349
C3H18N9Ge1Br5,2.880199,3.178861
C3H18N9Ge1I5,2.34159,3.049136
C3H18N9Cd1F5,2.621008,2.259663
C3H18N9Cd1Cl5,2.934562,3.25302
C3H18N9Cd1Br5,2.833255,2.851582
C3H18N9Cd1I5,2.585965,3.151813
