Chemical Formula, Original Eg (eV),Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C12H32N4Pb1I4,2.11,2.3,2.29774
C10H24N2O2Pb1Br4,2.83,1.98,1.98409
C12H32N2Pb1I6,1.98,1.93,1.92909
C14H18N2Pb1Cl4F2,3.43,2.18,2.17541
C14H20N2Pb1Cl4,3.46,2.22,2.22478
C28H32N2Pb1I4,2.36,2.16,2.1601
C14H18N2Pb1F2I4,2.29,2.54,2.54244
C16H22N2Pb1Br4F2,2.86,1.96,1.96171
C16H22N2Pb1Cl2I4,2.29,2.36,2.36133
C16H22N2Pb1Br2Cl4,3.35,2.13,2.13127
C16H22N2Pb1Br6,2.73,2.07,2.06999
C6H14N4Pb1I4,2.1,2.42,2.41525
C10H10N2Pb1Br6,2.68,2.3,2.30073
C14H18N2Pb1Cl4F2,3.4,2.3,2.30099
C8H20N2Pb1Cl4,3.41,2.26,2.26084
C4H20N4Pb1Cl2I4,2.56,2.47,2.47053
C8N2Pb1Cl4,2.61,2.17,2.17445
C10H18N2S2Pb1Cl4,3.38,2.23,2.23084
C10H22N2S2Pb1Br4,2.84,2.01,2.01069
C20H32N2Pb1Br4,2.85,2.06,2.06129
C6N2Pb1Br4,2.44,2.33,2.32579
C32H72N2Pb1I4,2.48,2.33,2.33223
C28H36N2O2Pb1I4,2.33,2.4,2.40249
C8H24N2Pb1Br4,2.8,2.07,2.06605
C3N2Pb1Cl4,2.64,2.26,2.25948
C16H24N2Pb1I4,2.34,2.22,2.22264
C14H18N2Pb1F2I4,2.31,2.32,2.31997
C4H14N2S2Pb1Cl4,3.38,2.32,2.31997
C6H16N2Pb1I4,2.17,2.56,2.55968
C6H18N2Pb1Cl4,3.4,3.33,3.33032
C15H36N3O6Pb1Br4,2.85,2.66,2.6624
C14H18N2Pb1F2I4,2.23,2.11,2.11592
C20H48N4Pb1Cl4,3.32,2.29,2.28935
C22H27N2S4Pb1I3,2.31,2.01,2.00676
C20H48N4Pb1Br4,2.61,2.04,2.03903
C4H14N2Pb1Cl2I4,2.64,2.02,2.02419
C7H12N2Pb1Br4,2.74,2.07,2.07293
C7H12N2Pb1I4,2.16,2.28,2.28084
C7H12N2Pb1I4,2.13,1.99,1.98762
C7H12N2Pb1I4,2.14,2.01,2.01277
C28H40N4Pb1I4,2.16,2.08,2.08242
C2H10N4Pb1Br4,2.39,2.12,2.12002
C36H44N4Pb1Cl4,3.31,2.1,2.09944
C16H24N2Pb1Cl4,3.17,2.8,2.80144
C16H24N2Pb1Br4,2.82,2.81,2.80841
C16H24N2Pb1I4,2.39,2.33,2.32566
C48H72N6O6Pb1I4,2.13,2.39,2.38268
C12H14N2Pb1Cl2I4,2.5,2.3,2.30256
C12H14N2Pb1Br2I4,2.37,2.45,2.45417
C16H20N2Pb1Cl4I4,2.6,2.51,2.50789
C16H20N2Pb1Br4I4,2.32,2.4,2.40159
C20H32N2Pb1I4,2.32,2.51,2.50726
C54H96N8Pb1F8I6,2.21,2.42,2.42122
C30H64N6Pb1Cl4I6,2.7,2.9,2.90012
C16H22N2Pb1Br2I4,2.34,2.31,2.31814
C10H24N2O4Pb1Cl4,3.27,2.83,2.83121
C14H14N2S6Pb1I4,2.2,2.46,2.46552
C40H48N4S12Pb3I10,2.31,2.15,2.14856
C30H36N3S9Bi2I9,2.22,3.34,3.33937
C5H10N3Pb1Br4,2.64,3.27,3.27084
C5H10N3Pb1Br4,2.68,2.57,2.56627
C5H16N2Pb1Cl4,3.34,2.32,2.32265
C6H16N2Pb1I4,2.21,2.01,2.0143
C18H28N2O2Pb1I4,2.23,2.61,2.60971
C14H15N1S3Pb1I3,2.21,2.35,2.3462
C22H27N2S4Pb1I3,2.31,2.11,2.11223
C5H16N2Pb1I4,2.07,2.16,2.16885
C6H17N3Pb1I4,2.12,2.4,2.39905
C14H24N4Pb1Br4,2.67,2.12,2.12232
C36H56N4Pb1Br4,2.82,2.24,2.23827
C2H20N6Pb1Br4,2.46,2.35,2.34814
C2H20N6Pb1Br4,2.47,2.24,2.23911
C2H14N4Pb1Br4,2.67,1.95,1.94992
C2H14N4Pb1Br4,2.73,2.21,2.21114
C14H28N2O4Pb1I4,2.31,2.57,2.57096
C13H38N3Pb2Br7,2.75,2.45,2.4579
C14H38N4Pb2Br7,2.61,2.63,2.62754
C15H39N3Pb2Br7,2.77,2.58,2.57908
C17H46N3Pb2Br7,2.79,2.4,2.40585
C17H46N3Pb2I7,2.28,2.53,2.5307
C44H56N2S8Pb1Br4,2.8,3.32,3.31695
C22H28N2S4Pb1Cl4,2.91,2.64,2.64515
C9H30N3Pb2Br7,2.76,2.68,2.68211
C9H36N3Pb2Br7,2.61,2.67,2.67544
C12H40N4Pb2Br7,2.65,2.53,2.53203
C8H10N2Pb1F4I4,2.39,3.3,3.29703
C10H24N2O2Pb1Br4,2.88,3.27,3.27125
C8H20N2O4Pb1I4,2.15,2.2439,2.19417
C16H36N2O4Pb1I4,2.29,1.9941,2.0937
C40H88N4O8Pb1I4,2.25,2.0243,2.15043
C44H40N6S8Pb1I4,2.3,2.837,2.83364
C8H24N2Pb1I4,2.3,2.1644,2.23471
C8H24N2Pb1I4,2.29,1.9046,1.97525
C8H24N2Pb1I4,2.28,1.9597,1.89621
C18H70N8Pb2I7,2.04,2.0656,2.27371
C16H24N2Pb1I4,2.24,1.8353,1.77162
C16H24N2Pb1I4,2.23,1.8351,1.82395
C16H24N2Pb1I4,2.22,3.2261,3.53457
C7H40N3Pb1Br4,2.52,3.4129,3.32269
C18H28N2O2Pb1I4,2.23,3.3746,3.26856
C16H38N12O4Pb1Cl4,3.33,2.28235,2.29306
C8H24N2O2Pb1Br4,2.87,2.28,2.27484
C32H44N4Pb3F4I12,2.11,2.28085,2.2746
C8H10N2Pb1F4I4,2.28,2.297,2.25649
C10H18N2Pb1Br4,2.76,2.2957,2.30968
C2N4S2Pb2I7,2.09,2.3211,2.38505
C5N5Pb3I10,2.05,2.2892,2.34378
C2N2S2Pb1I4,2.15,2.31,2.31722
C7H18N2Pb1I4,2.17,2.26,2.26836
C7H18N2Pb1I4,2.15,2.29,2.29138
C15H58N7Pb6I19,1.83,2.38,2.37698
C48H128N12O8Pb3Br15,2.63,2.28,2.28087
C48H128N12O8Pb3Br15,2.65,2.13,2.13275
C48H128N12O8Pb3Br15,2.62,2.35,2.35236
C9H42N7Pb2Br9,2.6,2.27,2.27223
C7H23N4Pb2Br9,2.58,2.39,2.37832
C10H40N4Pb2Br7,2.52,2.39,2.38769
C10H40N4Pb2Br7,2.51,2.39,2.39038
C6H10N2Pb1I4,2.17,2.28,2.28114
C7H16N3Pb2I7,2,2.28,2.28048
C14H68N4Pb3I14,1.88,2.1912,2.21662
C10H34N4Pb3I12,1.93,2.8744,2.7385
C7H32N7Pb2I8,2.2,2.8764,2.72252
C18H28N2Pb1Br4,2.89,2.2626,2.28828
C12H24N2Pb1Br4,2.8,2.3048,2.37447
C13H26N2Pb1Br4,2.82,2.2588,2.28434
C13H26N2Pb1Br4,2.84,2.87395,3.04997
C12H24N2Pb1Br4,2.85,2.2074,2.24422
C20H52N4Pb2Br7,3.34,2.21305,2.17542
C10H18N2Pb1Br4,2.93,2.2569,2.37182
C31H35N2S5Sn1I3,2.1,2.71985,2.82593
C90H84N4S20Sn3Cl4I12,2.1,2.249,2.21934
C30H32N2S5Sn1Cl1I3,2.11,2.2419,2.21471
C48H40N2S12Sn1I4,1.96,3.0199,2.82489
C25H28N2S5Sn1Cl3I3,2.11,2.1871,2.28939
Cs2Pb1Cl2I2,2.39,2.0139,2.16411
C22H96N8Pb1Br6Cl2F8,2.7,1.9913,2.00046
C14H16N2Pb1Br4Cl2F2,2.87,1.8435,1.88777
C6H5N2Pb1Br3,2.65,2.25355,2.19612
C6H5N2Pb1Br3,2.63,2.0241,2.10769
C4H14N2Pb1I4,2.18,1.9853,1.97565
C16H22N2Pb1Br4Cl2,2.91,2.7433,3.03456
C14H36N2Pb1I4,2.31,1.8198,1.91731
C16H24N4O5Pb1Br4,2.88,2.83295,2.81292
C10H28N2Pb1Br4,2.86,2.8566,2.79265
C8H14N2Pb1I4,2.2,2.73095,2.68291
C72H112N8Pb6I25,2.15,2.0284,2.0749
C4H14N2Pb1I4,2.22,2.1304,2.05655
C60H240N40Pb15I66,2.15,2.2115,2.1899
C5H16N2Pb1I4,2.09,2.192,2.25333
C96H320N32Pb2Br7,2.75,3.31135,3.28359
C8H14N2Pb1I4,2.3,3.3801,3.17748
C12H54N8Pb2I7,1.98,2.81885,2.84436
C10H84N8Pb2I7,1.93,2.2311,2.30101
C4H9N1Pb1F1I3,2.18,2.6837,2.61489
C8H16N2Pb1F4I4,2.22,2.81035,2.78507
C4H9N1Pb1F1I3,2.16,2.79105,2.78949
C2Cs2N2S2Pb1Br2,2.54,2.7375,2.7788
C7H15N4Pb2I7,1.96,2.9724,2.71014
C18H28N2Pb1I4,2.36,2.624,2.61082
C108H167N12Pb11I37,2.13,2.6075,2.57219
C108H155N12Pb7I49,2.07,2.2476,2.15943
C14H16N3O1S2Pb1I3,2.42,2.2177,2.34789
C16H15N1O2S2Pb1I3,2.3,2.2881,2.38608
C15H21N2O2S4Pb1I3,2.3,2.277,2.3471
C23H23N3O1S3Pb1I3,2.26,2.3236,2.3264
C34H27N4O2S4Pb1I3,2.47,2.2842,2.25373
C18H14N2S3Pb1I3,2.17,2.2753,2.29952
C40H52N8S8Pb3I10,2.23,2.2086,2.21965
C44H54N8S10Sn2I7,2.01,2.2863,2.27411
C36H28N4S4Sn1Cl2I4,2.06,2.2691,2.21375
C16H22N2Pb1Br2I4,2.33,2.2397,2.24397
C16H22N2Pb1Br2I4,2.33,2.9114,2.83255
C16H22N2Pb1Br2I4,2.4,2.89405,3.03183
C12H40N4Pb3I10,2.07,2.9397,2.99111
C128H448N48Pb3I10,2.26,2.7478,2.69596
C120H146N8O2Pb3I14,2.22,3.05305,3.07954
C12H14N1Pb1I3,2.32,3.1526,3.15973
C12H14N1Pb1I3,2.32,3.5099,3.58088
C1Cs2H6N3Pb2Br7,2.56,3.5179,3.20682
C6H9N3Pb1Cl4,3.33,3.399,3.47225
C6H9N3Pb1Br4,2.66,3.4004,3.36365
C6H9N3Pb1I4,2.11,3.2698,2.88177
C6H16N2Pb1I4,2.29,3.241,3.31087
C8N4Pb3I10,2.01,2.8126,2.8541
C8H30N4Pb3I12,2.04,3.3954,3.43432
C7H16N3Pb2I7,2.02,3.2243,3.39764
C6N2Pb1I6,2.07,2.2039,2.14708
C3H9N1Pb1I4,2.28,1.994,2.07466
C8H28N4Pb3I10,1.99,1.8476,1.83382
C38H108N14Pb9I32,2.01,1.854,1.75801
C9H24N3Pb2I7,2.08,2.1249,2.1614
C8H16N4Pb2I9,2.12,1.9873,2.11538
C6N2Pb1I6,2.1,1.8373,1.75579
C6H16N2Pb1Br4,2.8,1.843,1.76728
C6H16N2Pb1Br4,2.81,2.29215,2.30822
C22H52N2Pb1I4,2.33,3.4305,3.44804
C22H52N2Pb1I4,2.39,3.4305,3.44804
C22H52N2Pb1I4,2.3,3.4381,3.41711
C26H60N2Pb1I4,2.45,3.4317,3.4498
C26H60N2Pb1I4,2.51,3.4395,3.49028
C26H60N2Pb1I4,2.4,3.3248,3.42536
C30H68N2Pb1I4,2.51,3.4293,3.44495
C30H68N2Pb1I4,2.42,2.5819,2.48922
C16H22N2Pb1Br4F2,2.9,2.5812,2.48921
C14H32N2Pb1I4,2.31,2.5998,2.5381
C8H24N2Pb1Br4,2.83,2.595,2.5381
C7N2Pb1Br2,2.46,2.2453,2.26491
C16H4N4Pb1I4,2.15,2.31355,2.38915
C12H40N4Pb3Cl10,3.34,2.2897,2.23526
C96H312N32Pb3Cl28,3.27,2.2449,2.04399
C8H24N2Pb2Br5,2.57,2.05,2.05674
C8H24N2Pb1Br4I4,2.32,1.9857,1.97893
C20H60N5Pb2I6,2.01,2.18,2.17895
C14H44N4Pb3Br10,2.61,2.03,2.00024
C36H28N2Pb1I4,2.35,2.079,2.03061
C15H53N7S8Pb4I15,2.11,2.22485,2.25487
C4H16N2S2Pb1I4,2.16,2.9028,2.88557
C7H9N1Pb1I3,2.4,2.68145,2.61128
C14H18N2Pb1F2I4,2.12,2.769,2.77766
C17H28N3Pb2F2I7,2.24,2.162,2.36586
C16H24N2Pb1I4,2.35,3.3494,3.34734
C8H12N1Pb1I3,2.24,3.1664,2.97258
C6H20N2Pb1I3,1.95,2.7946,2.80602
C7H31N8O2Pb3I11,2.21,2.6871,2.73462
C2H7N1Pb1Br3,2.57,2.7493,2.83962
C5H22N2Pb2Br6,2.45,2.627,2.70978
C5H16N2Pb2Br6,2.63,2.33875,2.31293
C2H7N1Pb1Br3,2.58,2.6354,2.58765
Cs1Pb2Br5,2.4,2.2304,2.14369
Cs2N2O6Pb1Br2,2.53,2.81555,3.00065
C3H5N1Pb1Cl3,3.32,2.1862,2.25566
C72H104N8Pb5Br18,2.64,3.3834,2.96473
C9H13N1Pb1Br3,2.68,2.2704,2.15949
C7H18N2Pb1Br4,2.67,3.0082,2.84185
C11H38N6Pb2Br13,2.53,2.3011,2.2973
C5H17N2Pb1Cl4,3.3,2.32535,2.33873
C16H72N4Pb3Cl10,3.27,2.2215,2.3274
