Chemical Formula, Original Eg (eV),Eg predicted by ETR (eV),Eg predicted by XGBR (eV)
C26H40N4Pb1Br4,2.88,4.13,4.13022
C26H40N4Pb1Br4,2.88,3.24,3.23944
C14H20N2Pb1I4,2.28,1.79,1.78955
C27H42N3Pb2I7,2.31,2.04,2.04384
C30H48N3Pb2I7,2.29,2.22,2.21642
C12H20N2S2Pb1I4,2.26,2.51,2.50992
C5H11N3Pb1I4,2.05,2.5,2.50046
C5H11N3Sn1I4,1.67,2.4,2.4003
C14H20N2Pb1I4,2.18,2.34,2.33966
C14H20N2Sn1I4,1.85,2.03,2.02581
C11H16N4S2Pb2I7,2.21,2,2.00409
C10H16N2S4Pb1I4,2.41,2.16,2.15956
C6H10N2Pb1Br4,2.76,2.14,2.13964
C12H20N4Pb1Br6,2.67,3.04,3.04049
C6H10N2Pb1Br4,2.63,2.41,2.40937
C30N6Sn1Cl4I6,2.09,2.03,2.02434
C8H14N2Pb1Cl4,3.39,2.13,2.13372
C6H10N2Pb1Cl4,3.37,2.48,2.47985
C8H14N2Pb1Br4,2.99,2.18,2.17978
C6H9N3Pb1Br4,2.66,2.05,2.0531
C6H9N3Pb1Br4,2.66,2.06,2.0552
C14H20N2Pb1Br4,2.91,2.05,2.05674
C16H24N2Pb1I6,2.06,2.18,2.17895
C22H24N2Pb1Br4,2.94,3.24,3.23865
C24H28N2Pb1I6,2.15,2.37,2.36817
C24H28N2Pb1Br6,2.71,2.12,2.12253
C14H14N4Pb1I4,2.22,2.14,2.14123
C14H14N4Pb1Cl4,3.08,2.19,2.18809
C7H7N2Pb1I3,2.44,2.31,2.30521
C14H14N4Pb1Br4,2.6,2,1.9921
C24H28N2O2Pb1I4,2.39,2.14,2.13035
C26H32N2O2Pb1I4,2.57,2.02,2.03074
C57H82N6O6Pb2I8,2.35,2.62,2.6194
C36H32N2O2Pb1I4,2.38,2.79,2.78779
C38H36N2O2Pb1I4,2.27,3.35,3.35174
C40H40N2O2Pb1I6,2.4,3.42,3.41459
C44H36N2O2Pb1I4,2.41,2.16,2.16442
C14H14N2S6Pb1I4,2.51,2.35,2.3457
C40H48N4S12Pb3I10,2.6,2.58,2.58141
C30H36N3S9Bi2I9,2.18,2.72,2.72294
C14H18N2Pb1F2I4,2.33,2.6,2.59969
C6H13N3Pb1Br4,2.9,2.2,2.19983
C14H10N4Sn1F4I4,2.01,2.29,2.28386
C14H18N2Pb1I4,2.33,1.9,1.90157
C3N3Sn1I3,2.2,1.7,1.7009
C16H24N2Pb1Br4,2.83,2.06,2.05505
C1H6N3Pb1I3,2.79,1.98,1.97796
C12H52N8Pb7I22,1.53,2.01,2.00881
C13H96N7Pb6I19,1.59,2.855,2.85502
C14H60N8Pb7I22,1.57,3.12,3.1188
C32H41N3Pb1F4I4,2.15,3.17,3.16891
C18H32N4Pb1F2I6,2.13,3.21,3.20553
C20H22N6Pb2F2I7,2.12,3.04,3.02925
C14H18N2Pb1I4,2.28,3.24,3.2336
C14H18N2Pb1I4,2.29,2.855,2.85672
C1H12N6Pb1I3,2.01,2.69,2.69505
C3H18N9Pb1I5,2.18,2.69,2.6922
C3H36N16Pb1I5,2.2,3.49,3.49098
C4H24N12Pb1I6,2.14,5.29,5.28849
C2H12N6Pb1Br4,3.62,2.84,2.84242
C1Cs2H6N3Pb2Br8,2.58,2.5,2.50346
C1Cs1H6N3Pb1Br5,2.65,2.71,2.70689
C1Cs1H8N3Pb1I4,2.14,2.98,2.98041
C1Cs1H8N3Pb1I5,2.14,2.07,2.0746
Cs1Pb2Br5,3.44,2.855,2.85502
C16H22N2Pb1F2I4,2.34,3.18,3.18157
C16H22N2Pb1F2I4,2.11,3.87,3.86798
C16H22N2Pb1F2I4,2.11,2.72,2.71853
C20H22N6Pb3F2I10,2.03,3.04,3.03908
C20H22N6Pb3F2I10,1.98,2.98,2.97889
C16H22N2Pb1F2I4,2.28,2.26,2.26184
C2N6Sn1I4,2,2.81,2.80993
C5N16Sn2I8,2.06,2.95,2.94923
C2N6Sn1I4,1.98,3.45,3.45131
C2N6Sn1I4,1.99,3.12,3.12698
C2N6Pb1I4,2.01,2.93,2.92675
C5N16Pb2I8,2.18,2.97,2.97049
C2N6Pb1I4,2.01,3.07,3.07008
C4H17N8Pb1Br4,2.63,3.34,3.33677
C3H10N6Pb1Br4,2.82,3.04,3.04005
C3H14N6Pb1Br4,2.88,2.64,2.6449
C4H17N8Pb1Br4,2.77,2.6,2.59907
C24H80N8Pb2I7,2.14,2.63,2.63094
C3H10N1Pb1I4,2.1,2.59,2.59286
C20H72N8Pb2I7,2.09,2.62,2.61977
C9H30N3Pb4I14,2.09,2.59,2.59068
C6H20N2Pb2I7,2.1,2.36,2.35891
C20H72N8Pb3I18,1.96,2.4,2.39751
C10H36N4Pb5I16,1.96,2.38,2.38027
C24H96N12Pb4I13,1.85,2.4,2.3987
C11H42N5Pb8I26,1.85,2.38,2.3782
C7H22N2Pb1I4,2.09,2.38,2.37888
C14H44N4Pb4I15,2.09,2.28,2.27505
C20H66N12Pb2I11,2.12,2.38,2.37788
C9H29N4Pb2I11,2.12,2.51,2.51059
C2H14N4Pb1I4,2.04,2.54,2.5484
C6H50N14Pb3I12,2.12,2.55,2.55146
C2H16N8Pb1I4,1.97,2.64,2.64149
C2H18N8Pb1I4,2.12,2.7,2.69439
C16H40N2Pb1I4,2.38,2.56,2.55832
C14H36N2Pb1I4,2.39,2.42,2.42628
C10H28N2Pb1I4,2.51,2.27,2.28037
